,DATE,TG,Q_TG,TN,Q_TN,QQ,Q_QQ,TX,Q_TX,SD,Q_SD,CC,Q_CC,HU,Q_HU,SS,Q_SS
0,19570101,28.0,0.0,11.0,0.0,8.0,0.0,61.0,0.0,0.0,0.0,8.0,0.0,93.0,0.0,0.0,0.0
1,19570101,28.0,0.0,11.0,0.0,8.0,0.0,61.0,0.0,0.0,0.0,8.0,0.0,93.0,0.0,0.0,0.0
2,19570102,20.0,0.0,-22.0,0.0,8.0,0.0,89.0,0.0,0.0,0.0,8.0,0.0,93.0,0.0,0.0,0.0
3,19570102,20.0,0.0,-22.0,0.0,8.0,0.0,89.0,0.0,0.0,0.0,8.0,0.0,93.0,0.0,0.0,0.0
4,19570103,36.0,0.0,-17.0,0.0,12.0,0.0,100.0,0.0,0.0,0.0,7.0,0.0,93.0,0.0,2.0,0.0
5,19570103,36.0,0.0,-17.0,0.0,12.0,0.0,100.0,0.0,0.0,0.0,7.0,0.0,93.0,0.0,2.0,0.0
6,19570104,70.0,0.0,39.0,0.0,8.0,0.0,100.0,0.0,0.0,0.0,7.0,0.0,94.0,0.0,0.0,0.0
7,19570104,70.0,0.0,39.0,0.0,8.0,0.0,100.0,0.0,0.0,0.0,7.0,0.0,94.0,0.0,0.0,0.0
8,19570105,72.0,0.0,44.0,0.0,8.0,0.0,72.0,0.0,0.0,0.0,7.0,0.0,90.0,0.0,0.0,0.0
9,19570105,72.0,0.0,44.0,0.0,8.0,0.0,72.0,0.0,0.0,0.0,7.0,0.0,90.0,0.0,0.0,0.0
10,19570106,47.0,0.0,22.0,0.0,26.0,0.0,94.0,0.0,0.0,0.0,5.0,0.0,87.0,0.0,23.0,0.0
11,19570106,47.0,0.0,22.0,0.0,26.0,0.0,94.0,0.0,0.0,0.0,5.0,0.0,87.0,0.0,23.0,0.0
12,19570107,56.0,0.0,17.0,0.0,9.0,0.0,100.0,0.0,0.0,0.0,7.0,0.0,92.0,0.0,0.0,0.0
13,19570107,56.0,0.0,17.0,0.0,9.0,0.0,100.0,0.0,0.0,0.0,7.0,0.0,92.0,0.0,0.0,0.0
14,19570108,84.0,1.0,67.0,1.0,9.0,0.0,50.0,1.0,0.0,0.0,8.0,0.0,95.0,0.0,0.0,0.0
15,19570108,84.0,1.0,67.0,1.0,9.0,0.0,50.0,1.0,0.0,0.0,8.0,0.0,95.0,0.0,0.0,0.0
16,19570109,42.0,0.0,33.0,0.0,20.0,0.0,50.0,0.0,0.0,0.0,6.0,0.0,84.0,0.0,10.0,0.0
17,19570109,42.0,0.0,33.0,0.0,20.0,0.0,50.0,0.0,0.0,0.0,6.0,0.0,84.0,0.0,10.0,0.0
18,19570110,22.0,0.0,-6.0,0.0,39.0,0.0,61.0,0.0,0.0,0.0,1.0,0.0,79.0,0.0,55.0,0.0
19,19570110,22.0,0.0,-6.0,0.0,39.0,0.0,61.0,0.0,0.0,0.0,1.0,0.0,79.0,0.0,55.0,0.0
20,19570111,11.0,0.0,-39.0,0.0,12.0,0.0,56.0,0.0,0.0,0.0,6.0,0.0,95.0,0.0,1.0,0.0
21,19570111,11.0,0.0,-39.0,0.0,12.0,0.0,56.0,0.0,0.0,0.0,6.0,0.0,95.0,0.0,1.0,0.0
22,19570112,34.0,0.0,11.0,0.0,42.0,0.0,44.0,0.0,0.0,0.0,2.0,0.0,76.0,0.0,61.0,0.0
23,19570112,34.0,0.0,11.0,0.0,42.0,0.0,44.0,0.0,0.0,0.0,2.0,0.0,76.0,0.0,61.0,0.0
24,19570113,33.0,1.0,22.0,0.0,31.0,0.0,22.0,1.0,0.0,0.0,5.0,0.0,71.0,0.0,29.0,0.0
25,19570113,33.0,1.0,22.0,0.0,31.0,0.0,22.0,1.0,0.0,0.0,5.0,0.0,71.0,0.0,29.0,0.0
26,19570114,-3.0,0.0,-28.0,0.0,44.0,0.0,39.0,0.0,0.0,0.0,3.0,0.0,80.0,0.0,64.0,0.0
27,19570114,-3.0,0.0,-28.0,0.0,44.0,0.0,39.0,0.0,0.0,0.0,3.0,0.0,80.0,0.0,64.0,0.0
28,19570115,-11.0,0.0,-61.0,0.0,16.0,0.0,56.0,0.0,0.0,0.0,6.0,0.0,83.0,0.0,3.0,0.0
29,19570115,-11.0,0.0,-61.0,0.0,16.0,0.0,56.0,0.0,0.0,0.0,6.0,0.0,83.0,0.0,3.0,0.0
30,19570116,25.0,0.0,-6.0,0.0,31.0,0.0,44.0,0.0,0.0,0.0,4.0,0.0,78.0,0.0,25.0,0.0
31,19570116,25.0,0.0,-6.0,0.0,31.0,0.0,44.0,0.0,0.0,0.0,4.0,0.0,78.0,0.0,25.0,0.0
32,19570117,14.0,0.0,-17.0,0.0,15.0,0.0,39.0,0.0,0.0,0.0,6.0,0.0,91.0,0.0,2.0,0.0
33,19570117,14.0,0.0,-17.0,0.0,15.0,0.0,39.0,0.0,0.0,0.0,6.0,0.0,91.0,0.0,2.0,0.0
34,19570118,11.0,0.0,-17.0,0.0,47.0,0.0,44.0,0.0,0.0,0.0,4.0,0.0,88.0,0.0,64.0,0.0
35,19570118,11.0,0.0,-17.0,0.0,47.0,0.0,44.0,0.0,0.0,0.0,4.0,0.0,88.0,0.0,64.0,0.0
36,19570119,-12.0,0.0,-67.0,0.0,11.0,0.0,83.0,0.0,0.0,0.0,8.0,0.0,92.0,0.0,0.0,0.0
37,19570119,-12.0,0.0,-67.0,0.0,11.0,0.0,83.0,0.0,0.0,0.0,8.0,0.0,92.0,0.0,0.0,0.0
38,19570120,38.0,0.0,-6.0,0.0,11.0,0.0,78.0,0.0,0.0,0.0,8.0,0.0,94.0,0.0,0.0,0.0
39,19570120,38.0,0.0,-6.0,0.0,11.0,0.0,78.0,0.0,0.0,0.0,8.0,0.0,94.0,0.0,0.0,0.0
40,19570121,56.0,0.0,33.0,0.0,29.0,0.0,61.0,0.0,0.0,0.0,7.0,0.0,89.0,0.0,17.0,0.0
41,19570121,56.0,0.0,33.0,0.0,29.0,0.0,61.0,0.0,0.0,0.0,7.0,0.0,89.0,0.0,17.0,0.0
42,19570122,44.0,0.0,28.0,0.0,11.0,0.0,67.0,0.0,0.0,0.0,8.0,0.0,95.0,0.0,0.0,0.0
43,19570122,44.0,0.0,28.0,0.0,11.0,0.0,67.0,0.0,0.0,0.0,8.0,0.0,95.0,0.0,0.0,0.0
44,19570123,36.0,1.0,6.0,0.0,23.0,0.0,11.0,1.0,0.0,0.0,7.0,0.0,85.0,0.0,7.0,0.0
45,19570123,36.0,1.0,6.0,0.0,23.0,0.0,11.0,1.0,0.0,0.0,7.0,0.0,85.0,0.0,7.0,0.0
46,19570124,2.0,0.0,-6.0,0.0,12.0,0.0,83.0,0.0,2.0,0.0,7.0,0.0,97.0,0.0,0.0,0.0
47,19570124,2.0,0.0,-6.0,0.0,12.0,0.0,83.0,0.0,2.0,0.0,7.0,0.0,97.0,0.0,0.0,0.0
48,19570125,11.0,0.0,-61.0,0.0,12.0,0.0,72.0,0.0,1.0,0.0,8.0,0.0,97.0,0.0,0.0,0.0
