SOUID,    DATE,   CC, Q_CC
105608,19570101,    8,    0
105608,19570102,    8,    0
105608,19570103,    7,    0
105608,19570104,    7,    0
105608,19570105,    7,    0
105608,19570106,    5,    0
105608,19570107,    7,    0
105608,19570108,    8,    0
105608,19570109,    6,    0
105608,19570110,    1,    0
105608,19570111,    6,    0
105608,19570112,    2,    0
105608,19570113,    5,    0
105608,19570114,    3,    0
105608,19570115,    6,    0
105608,19570116,    4,    0
105608,19570117,    6,    0
105608,19570118,    4,    0
105608,19570119,    8,    0
105608,19570120,    8,    0
105608,19570121,    7,    0
105608,19570122,    8,    0
105608,19570123,    7,    0
105608,19570124,    7,    0
105608,19570125,    8,    0
105608,19570126,    6,    0
105608,19570127,    6,    0
105608,19570128,    8,    0
105608,19570129,    4,    0
105608,19570130,    8,    0
105608,19570131,    8,    0
105608,19570201,    6,    0
105608,19570202,    6,    0
105608,19570203,    6,    0
105608,19570204,    8,    0
105608,19570205,    4,    0
105608,19570206,    7,    0
105608,19570207,    8,    0
105608,19570208,    6,    0
105608,19570209,    4,    0
105608,19570210,    6,    0
105608,19570211,    6,    0
105608,19570212,    8,    0
105608,19570213,    8,    0
105608,19570214,    7,    0
105608,19570215,    3,    0
105608,19570216,    6,    0
105608,19570217,    5,    0
105608,19570218,    2,    0
105608,19570219,    0,    0
105608,19570220,    5,    0
105608,19570221,    4,    0
105608,19570222,    4,    0
105608,19570223,    8,    0
105608,19570224,-9999,    9
105608,19570225,    6,    0
105608,19570226,    6,    0
105608,19570227,    5,    0
105608,19570228,    7,    0
105608,19570301,    7,    0
105608,19570302,    8,    0
105608,19570303,-9999,    9
105608,19570304,    8,    0
105608,19570305,    8,    0
105608,19570306,    8,    0
105608,19570307,    8,    0
105608,19570308,    8,    0
105608,19570309,    8,    0
105608,19570310,    8,    0
105608,19570311,    7,    0
105608,19570312,    5,    0
105608,19570313,    7,    0
105608,19570314,    8,    0
105608,19570315,    8,    0
105608,19570316,    7,    0
105608,19570317,    7,    0
105608,19570318,    7,    0
105608,19570319,    8,    0
105608,19570320,    7,    0
105608,19570321,    5,    0
105608,19570322,    6,    0
105608,19570323,    3,    0
105608,19570324,    5,    0
105608,19570325,    7,    0
105608,19570326,    6,    0
105608,19570327,    7,    0
105608,19570328,    1,    0
105608,19570329,    8,    0
105608,19570330,    7,    0
105608,19570331,    7,    0
105608,19570401,    8,    0
105608,19570402,    6,    0
105608,19570403,    8,    0
105608,19570404,    8,    0
105608,19570405,    4,    0
105608,19570406,    5,    0
105608,19570407,    7,    0
105608,19570408,    5,    0
105608,19570409,    7,    0
105608,19570410,    6,    0
105608,19570411,    4,    0
105608,19570412,    6,    0
105608,19570413,    5,    0
