 SOUID,    DATE,   HU, Q_HU
105610,19570101,   93,    0
105610,19570102,   93,    0
105610,19570103,   93,    0
105610,19570104,   94,    0
105610,19570105,   90,    0
105610,19570106,   87,    0
105610,19570107,   92,    0
105610,19570108,   95,    0
105610,19570109,   84,    0
105610,19570110,   79,    0
105610,19570111,   95,    0
105610,19570112,   76,    0
105610,19570113,   71,    0
105610,19570114,   80,    0
105610,19570115,   83,    0
105610,19570116,   78,    0
105610,19570117,   91,    0
105610,19570118,   88,    0
105610,19570119,   92,    0
105610,19570120,   94,    0
105610,19570121,   89,    0
105610,19570122,   95,    0
105610,19570123,   85,    0
105610,19570124,   97,    0
105610,19570125,   97,    0
105610,19570126,   90,    0
105610,19570127,   88,    0
105610,19570128,   93,    0
105610,19570129,   87,    0
105610,19570130,   92,    0
105610,19570131,   89,    0
105610,19570201,   89,    0
105610,19570202,   87,    0
105610,19570203,   93,    0
105610,19570204,   92,    0
105610,19570205,   76,    0
105610,19570206,   93,    0
105610,19570207,   96,    0
105610,19570208,   90,    0
105610,19570209,   83,    0
105610,19570210,   84,    0
105610,19570211,   94,    0
105610,19570212,   92,    0
105610,19570213,   93,    0
105610,19570214,   88,    0
105610,19570215,   79,    0
105610,19570216,   88,    0
105610,19570217,   87,    0
105610,19570218,   76,    0
105610,19570219,   83,    0
105610,19570220,   85,    0
105610,19570221,   92,    0
105610,19570222,   88,    0
105610,19570223,   89,    0
105610,19570224,  100,    0
105610,19570225,   95,    0
105610,19570226,   85,    0
105610,19570227,   84,    0
105610,19570228,   89,    0
105610,19570301,   84,    0
105610,19570302,   98,    0
105610,19570303,   94,    0
105610,19570304,   95,    0
105610,19570305,   89,    0
105610,19570306,   97,    0
105610,19570307,   97,    0
105610,19570308,   96,    0
105610,19570309,   97,    0
105610,19570310,   96,    0
105610,19570311,   86,    0
105610,19570312,   76,    0
105610,19570313,   89,    0
105610,19570314,   90,    0
105610,19570315,   95,    0
105610,19570316,   95,    0
105610,19570317,   86,    0
105610,19570318,   85,    0
105610,19570319,   98,    0
105610,19570320,   91,    0
105610,19570321,   85,    0
105610,19570322,   82,    0
105610,19570323,   82,    0
105610,19570324,   83,    0
105610,19570325,   87,    0
105610,19570326,   89,    0
105610,19570327,   86,    0
105610,19570328,   73,    0
105610,19570329,   93,    0
105610,19570330,   89,    0
105610,19570331,   80,    0
105610,19570401,   83,    0
105610,19570402,   89,    0
105610,19570403,   98,    0
105610,19570404,   99,    0
105610,19570405,   76,    0
105610,19570406,   78,    0
105610,19570407,   80,    0
105610,19570408,   76,    0
105610,19570409,   77,    0
105610,19570410,   70,    0
105610,19570411,   64,    0
105610,19570412,   77,    0
105610,19570413,   78,    0
105610,19570414,   86,    0
105610,19570415,   94,    0
105610,19570416,   79,    0
105610,19570417,   86,    0
105610,19570418,   85,    0
105610,19570419,   70,    0
105610,19570420,   75,    0
105610,19570421,   92,    0
105610,19570422,   81,    0
105610,19570423,   83,    0
105610,19570424,   63,    0
105610,19570425,   72,    0
105610,19570426,   73,    0
105610,19570427,   68,    0
105610,19570428,   74,    0
105610,19570429,   82,    0
105610,19570430,   66,    0
105610,19570501,   76,    0
105610,19570502,   69,    0
105610,19570503,   70,    0
105610,19570504,   67,    0
105610,19570505,   63,    0
105610,19570506,   60,    0
105610,19570507,   71,    0
105610,19570508,   88,    0
105610,19570509,   85,    0
105610,19570510,   77,    0
105610,19570511,   82,    0
105610,19570512,   87,    0
105610,19570513,   81,    0
105610,19570514,   91,    0
105610,19570515,   82,    0
105610,19570516,   83,    0
105610,19570517,   77,    0
105610,19570518,   91,    0
105610,19570519,   67,    0
105610,19570520,   81,    0
105610,19570521,   77,    0
105610,19570522,   69,    0
105610,19570523,   76,    0
105610,19570524,   64,    0
105610,19570525,   66,    0
105610,19570526,   55,    0
105610,19570527,   43,    0
105610,19570528,   48,    0
105610,19570529,   76,    0
105610,19570530,   71,    0
105610,19570531,   71,    0
105610,19570601,   86,    0
105610,19570602,   91,    0
105610,19570603,   80,    0
105610,19570604,   85,    0
105610,19570605,   80,    0
105610,19570606,   72,    0
105610,19570607,   74,    0
105610,19570608,   77,    0
105610,19570609,   74,    0
105610,19570610,   66,    0
105610,19570611,   63,    0
105610,19570612,   76,    0
105610,19570613,   82,    0
105610,19570614,   64,    0
105610,19570615,   56,    0
105610,19570616,   58,    0
105610,19570617,   68,    0
105610,19570618,   76,    0
105610,19570619,   67,    0
105610,19570620,   64,    0
105610,19570621,   70,    0
105610,19570622,   64,    0
105610,19570623,   62,    0
105610,19570624,   68,    0
105610,19570625,   61,    0
105610,19570626,   70,    0
105610,19570627,   96,    0
105610,19570628,   98,    0
105610,19570629,   80,    0
105610,19570630,   74,    0
105610,19570701,   67,    0
105610,19570702,   69,    0
105610,19570703,   85,    0
105610,19570704,   81,    0
105610,19570705,   76,    0
105610,19570706,   77,    0
105610,19570707,   88,    0
105610,19570708,   85,    0
105610,19570709,   73,    0
105610,19570710,   83,    0
105610,19570711,   81,    0
105610,19570712,   89,    0
105610,19570713,   95,    0
105610,19570714,   84,    0
105610,19570715,   78,    0
105610,19570716,   88,    0
105610,19570717,   81,    0
105610,19570718,   88,    0
105610,19570719,   86,    0
105610,19570720,   83,    0
105610,19570721,   78,    0
105610,19570722,   84,    0
105610,19570723,   85,    0
105610,19570724,   87,    0
105610,19570725,   92,    0
105610,19570726,   83,    0
105610,19570727,   86,    0
105610,19570728,   85,    0
105610,19570729,   85,    0
105610,19570730,   85,    0
105610,19570731,   89,    0
105610,19570801,   77,    0
105610,19570802,   73,    0
105610,19570803,   75,    0
105610,19570804,   74,    0
105610,19570805,   81,    0
105610,19570806,   83,    0
105610,19570807,   84,    0
105610,19570808,   94,    0
105610,19570809,   95,    0
105610,19570810,   88,    0
105610,19570811,   89,    0
105610,19570812,   90,    0
105610,19570813,   94,    0
105610,19570814,   93,    0
105610,19570815,   79,    0
105610,19570816,   80,    0
105610,19570817,   83,    0
105610,19570818,   86,    0
105610,19570819,   96,    0
105610,19570820,   84,    0
105610,19570821,   84,    0
105610,19570822,   87,    0
105610,19570823,   85,    0
105610,19570824,   84,    0
105610,19570825,   84,    0
105610,19570826,   80,    0
105610,19570827,   81,    0
105610,19570828,   80,    0
105610,19570829,   79,    0
105610,19570830,   83,    0
105610,19570831,   95,    0
105610,19570901,   76,    0
105610,19570902,   83,    0
105610,19570903,   80,    0
105610,19570904,   88,    0
105610,19570905,   85,    0
105610,19570906,   93,    0
105610,19570907,   83,    0
105610,19570908,   85,    0
105610,19570909,   91,    0
105610,19570910,   85,    0
105610,19570911,   90,    0
105610,19570912,   79,    0
105610,19570913,   74,    0
105610,19570914,   70,    0
105610,19570915,   70,    0
105610,19570916,   80,    0
105610,19570917,   98,    0
105610,19570918,   93,    0
105610,19570919,   84,    0
105610,19570920,   89,    0
105610,19570921,   93,    0
105610,19570922,   98,    0
105610,19570923,   93,    0
105610,19570924,   80,    0
105610,19570925,   83,    0
105610,19570926,   79,    0
105610,19570927,   82,    0
105610,19570928,   83,    0
105610,19570929,   69,    0
105610,19570930,   73,    0
105610,19571001,   81,    0
105610,19571002,   84,    0
105610,19571003,   75,    0
105610,19571004,   90,    0
105610,19571005,   90,    0
105610,19571006,   91,    0
105610,19571007,   86,    0
105610,19571008,   86,    0
105610,19571009,   95,    0
105610,19571010,   92,    0
105610,19571011,   82,    0
105610,19571012,   87,    0
105610,19571013,   92,    0
105610,19571014,   96,    0
105610,19571015,   92,    0
105610,19571016,   85,    0
105610,19571017,   99,    0
105610,19571018,   93,    0
105610,19571019,   82,    0
105610,19571020,   88,    0
105610,19571021,   89,    0
105610,19571022,   80,    0
105610,19571023,   91,    0
105610,19571024,   85,    0
105610,19571025,   98,    0
105610,19571026,   82,    0
105610,19571027,   91,    0
105610,19571028,   92,    0
105610,19571029,   90,    0
105610,19571030,   88,    0
105610,19571031,   88,    0
105610,19571101,   84,    0
105610,19571102,   92,    0
105610,19571103,   96,    0
105610,19571104,   92,    0
105610,19571105,   89,    0
105610,19571106,   82,    0
105610,19571107,   84,    0
105610,19571108,   86,    0
105610,19571109,   79,    0
105610,19571110,   86,    0
105610,19571111,   89,    0
105610,19571112,   93,    0
105610,19571113,   90,    0
105610,19571114,   88,    0
105610,19571115,   88,    0
105610,19571116,   86,    0
105610,19571117,   92,    0
105610,19571118,   94,    0
105610,19571119,   90,    0
105610,19571120,   99,    0
105610,19571121,   93,    0
105610,19571122,   72,    0
105610,19571123,   83,    0
105610,19571124,   90,    0
105610,19571125,   87,    0
105610,19571126,   93,    0
105610,19571127,   90,    0
105610,19571128,   87,    0
105610,19571129,   81,    0
105610,19571130,   94,    0
105610,19571201,   67,    0
105610,19571202,   63,    0
105610,19571203,   88,    0
105610,19571204,   98,    0
105610,19571205,   97,    0
105610,19571206,   90,    0
105610,19571207,   94,    0
105610,19571208,   85,    0
105610,19571209,   74,    0
105610,19571210,   86,    0
105610,19571211,   92,    0
105610,19571212,   97,    0
105610,19571213,   74,    0
105610,19571214,   74,    0
105610,19571215,   92,    0
105610,19571216,   96,    0
105610,19571217,   98,    0
105610,19571218,   92,    0
105610,19571219,   95,    0
105610,19571220,   93,    0
105610,19571221,   86,    0
105610,19571222,   96,    0
105610,19571223,   99,    0
105610,19571224,   84,    0
105610,19571225,   92,    0
105610,19571226,   94,    0
105610,19571227,   93,    0
105610,19571228,   82,    0
105610,19571229,   80,    0
105610,19571230,   82,    0
105610,19571231,   92,    0
105610,19580101,   84,    0
105610,19580102,   88,    0
105610,19580103,   79,    0
105610,19580104,   85,    0
105610,19580105,   90,    0
105610,19580106,   93,    0
105610,19580107,   86,    0
105610,19580108,   95,    0
105610,19580109,   79,    0
105610,19580110,   96,    0
105610,19580111,   77,    0
105610,19580112,   76,    0
105610,19580113,   82,    0
105610,19580114,   94,    0
105610,19580115,   96,    0
105610,19580116,   98,    0
105610,19580117,   81,    0
105610,19580118,   88,    0
105610,19580119,   75,    0
105610,19580120,   83,    0
105610,19580121,   82,    0
105610,19580122,   78,    0
105610,19580123,   88,    0
105610,19580124,   89,    0
105610,19580125,   94,    0
105610,19580126,   97,    0
105610,19580127,   94,    0
105610,19580128,   95,    0
105610,19580129,   97,    0
105610,19580130,   96,    0
105610,19580131,   96,    0
105610,19580201,   95,    0
105610,19580202,   86,    0
105610,19580203,   84,    0
105610,19580204,   97,    0
105610,19580205,   76,    0
105610,19580206,   71,    0
105610,19580207,   80,    0
105610,19580208,   90,    0
105610,19580209,   84,    0
105610,19580210,   96,    0
105610,19580211,   89,    0
105610,19580212,   91,    0
105610,19580213,   88,    0
105610,19580214,   99,    0
105610,19580215,   92,    0
105610,19580216,   81,    0
105610,19580217,   64,    0
105610,19580218,   72,    0
105610,19580219,   82,    0
105610,19580220,   81,    0
105610,19580221,   88,    0
105610,19580222,   78,    0
105610,19580223,   95,    0
105610,19580224,   90,    0
105610,19580225,   73,    0
105610,19580226,   74,    0
105610,19580227,   91,    0
105610,19580228,   97,    0
105610,19580301,   92,    0
105610,19580302,   86,    0
105610,19580303,   95,    0
105610,19580304,   91,    0
105610,19580305,   79,    0
105610,19580306,   75,    0
105610,19580307,   77,    0
105610,19580308,   86,    0
105610,19580309,   74,    0
105610,19580310,   81,    0
105610,19580311,   72,    0
105610,19580312,   92,    0
105610,19580313,   93,    0
105610,19580314,   83,    0
105610,19580315,   62,    0
105610,19580316,   73,    0
105610,19580317,   78,    0
105610,19580318,   79,    0
105610,19580319,   84,    0
105610,19580320,   85,    0
105610,19580321,   87,    0
105610,19580322,   76,    0
105610,19580323,   69,    0
105610,19580324,   72,    0
105610,19580325,   90,    0
105610,19580326,   93,    0
105610,19580327,   97,    0
105610,19580328,   97,    0
105610,19580329,   95,    0
105610,19580330,   97,    0
105610,19580331,   97,    0
105610,19580401,   76,    0
105610,19580402,   67,    0
105610,19580403,   84,    0
105610,19580404,   95,    0
105610,19580405,   93,    0
105610,19580406,   80,    0
105610,19580407,   81,    0
105610,19580408,   69,    0
105610,19580409,   77,    0
105610,19580410,   69,    0
105610,19580411,   70,    0
105610,19580412,   68,    0
105610,19580413,   68,    0
105610,19580414,   70,    0
105610,19580415,   64,    0
105610,19580416,   64,    0
105610,19580417,   92,    0
105610,19580418,   90,    0
105610,19580419,   84,    0
105610,19580420,   76,    0
105610,19580421,   78,    0
105610,19580422,   77,    0
105610,19580423,   95,    0
105610,19580424,   87,    0
105610,19580425,   88,    0
105610,19580426,   82,    0
105610,19580427,   66,    0
105610,19580428,   74,    0
105610,19580429,   77,    0
105610,19580430,   85,    0
105610,19580501,   68,    0
105610,19580502,   80,    0
105610,19580503,   70,    0
105610,19580504,   83,    0
105610,19580505,   93,    0
105610,19580506,   77,    0
105610,19580507,   84,    0
105610,19580508,   95,    0
105610,19580509,   74,    0
105610,19580510,   84,    0
105610,19580511,   76,    0
105610,19580512,   87,    0
105610,19580513,   72,    0
105610,19580514,   91,    0
105610,19580515,   73,    0
105610,19580516,   70,    0
105610,19580517,   84,    0
105610,19580518,   74,    0
105610,19580519,   96,    0
105610,19580520,   79,    0
105610,19580521,   73,    0
105610,19580522,   75,    0
105610,19580523,   88,    0
105610,19580524,   89,    0
105610,19580525,   88,    0
105610,19580526,   80,    0
105610,19580527,   84,    0
105610,19580528,   84,    0
105610,19580529,   71,    0
105610,19580530,   93,    0
105610,19580531,   87,    0
105610,19580601,   77,    0
105610,19580602,   81,    0
105610,19580603,   91,    0
105610,19580604,   79,    0
105610,19580605,   83,    0
105610,19580606,   80,    0
105610,19580607,   92,    0
105610,19580608,   82,    0
105610,19580609,   87,    0
105610,19580610,   92,    0
105610,19580611,   88,    0
105610,19580612,   88,    0
105610,19580613,   78,    0
105610,19580614,   82,    0
105610,19580615,   76,    0
105610,19580616,   94,    0
105610,19580617,   72,    0
105610,19580618,   76,    0
105610,19580619,   95,    0
105610,19580620,   90,    0
105610,19580621,   83,    0
105610,19580622,   81,    0
105610,19580623,   85,    0
105610,19580624,   89,    0
105610,19580625,   82,    0
105610,19580626,   90,    0
105610,19580627,   93,    0
105610,19580628,   87,    0
105610,19580629,   80,    0
105610,19580630,   87,    0
105610,19580701,   91,    0
105610,19580702,   85,    0
105610,19580703,   82,    0
105610,19580704,   76,    0
105610,19580705,   84,    0
105610,19580706,   78,    0
105610,19580707,   92,    0
105610,19580708,   92,    0
105610,19580709,   91,    0
105610,19580710,   85,    0
105610,19580711,   82,    0
105610,19580712,   90,    0
105610,19580713,   91,    0
105610,19580714,   80,    0
105610,19580715,   87,    0
105610,19580716,   86,    0
105610,19580717,   81,    0
105610,19580718,   94,    0
105610,19580719,   78,    0
105610,19580720,   87,    0
105610,19580721,   72,    0
105610,19580722,   80,    0
105610,19580723,   72,    0
105610,19580724,   74,    0
105610,19580725,   76,    0
105610,19580726,   92,    0
105610,19580727,   88,    0
105610,19580728,   93,    0
105610,19580729,   82,    0
105610,19580730,   90,    0
105610,19580731,   78,    0
105610,19580801,   90,    0
105610,19580802,   89,    0
105610,19580803,   91,    0
105610,19580804,   96,    0
105610,19580805,   74,    0
105610,19580806,   82,    0
105610,19580807,   84,    0
105610,19580808,   90,    0
105610,19580809,   92,    0
105610,19580810,   91,    0
105610,19580811,   86,    0
105610,19580812,   80,    0
105610,19580813,   92,    0
105610,19580814,   83,    0
105610,19580815,   92,    0
105610,19580816,   82,    0
105610,19580817,   86,    0
105610,19580818,   83,    0
105610,19580819,   90,    0
105610,19580820,   95,    0
105610,19580821,   91,    0
105610,19580822,   90,    0
105610,19580823,   82,    0
105610,19580824,   84,    0
105610,19580825,   83,    0
105610,19580826,   89,    0
105610,19580827,   87,    0
105610,19580828,   91,    0
105610,19580829,   85,    0
105610,19580830,   88,    0
105610,19580831,   84,    0
105610,19580901,   86,    0
105610,19580902,   86,    0
105610,19580903,   87,    0
105610,19580904,   83,    0
105610,19580905,   91,    0
105610,19580906,   95,    0
105610,19580907,   92,    0
105610,19580908,   95,    0
105610,19580909,   88,    0
105610,19580910,   82,    0
105610,19580911,   84,    0
105610,19580912,   80,    0
105610,19580913,   86,    0
105610,19580914,   92,    0
105610,19580915,   91,    0
105610,19580916,   88,    0
105610,19580917,   88,    0
105610,19580918,   92,    0
105610,19580919,   95,    0
105610,19580920,   94,    0
105610,19580921,   95,    0
105610,19580922,   98,    0
105610,19580923,   97,    0
105610,19580924,   83,    0
105610,19580925,   78,    0
105610,19580926,   80,    0
105610,19580927,   86,    0
105610,19580928,   89,    0
105610,19580929,   94,    0
105610,19580930,   87,    0
105610,19581001,   88,    0
105610,19581002,   92,    0
105610,19581003,   94,    0
105610,19581004,   94,    0
105610,19581005,   89,    0
105610,19581006,   92,    0
105610,19581007,   91,    0
105610,19581008,   88,    0
105610,19581009,   86,    0
105610,19581010,   87,    0
105610,19581011,   82,    0
105610,19581012,   96,    0
105610,19581013,   89,    0
105610,19581014,   96,    0
105610,19581015,   80,    0
105610,19581016,   82,    0
105610,19581017,   79,    0
105610,19581018,   88,    0
105610,19581019,   84,    0
105610,19581020,   89,    0
105610,19581021,   92,    0
105610,19581022,   88,    0
105610,19581023,   95,    0
105610,19581024,   91,    0
105610,19581025,   86,    0
105610,19581026,   89,    0
105610,19581027,   98,    0
105610,19581028,   94,    0
105610,19581029,   94,    0
105610,19581030,   90,    0
105610,19581031,   85,    0
105610,19581101,   95,    0
105610,19581102,   93,    0
105610,19581103,   86,    0
105610,19581104,   93,    0
105610,19581105,   96,    0
105610,19581106,   88,    0
105610,19581107,   90,    0
105610,19581108,   86,    0
105610,19581109,   83,    0
105610,19581110,   77,    0
105610,19581111,   95,    0
105610,19581112,   96,    0
105610,19581113,   93,    0
105610,19581114,  100,    0
105610,19581115,  100,    0
105610,19581116,   99,    0
105610,19581117,   98,    0
105610,19581118,   91,    0
105610,19581119,   94,    0
105610,19581120,   95,    0
105610,19581121,   98,    0
105610,19581122,   92,    0
105610,19581123,   90,    0
105610,19581124,  100,    0
105610,19581125,   95,    0
105610,19581126,  100,    0
105610,19581127,  100,    0
105610,19581128,  100,    0
105610,19581129,   95,    0
105610,19581130,   86,    0
105610,19581201,   85,    0
105610,19581202,   89,    0
105610,19581203,   95,    0
105610,19581204,   92,    0
105610,19581205,   89,    0
105610,19581206,   85,    0
105610,19581207,   94,    0
105610,19581208,   91,    0
105610,19581209,   90,    0
105610,19581210,   96,    0
105610,19581211,   97,    0
105610,19581212,   95,    0
105610,19581213,   96,    0
105610,19581214,   93,    0
105610,19581215,   97,    0
105610,19581216,   94,    0
105610,19581217,   83,    0
105610,19581218,   91,    0
105610,19581219,   94,    0
105610,19581220,   89,    0
105610,19581221,   85,    0
105610,19581222,   92,    0
105610,19581223,   98,    0
105610,19581224,   99,    0
105610,19581225,   99,    0
105610,19581226,   96,    0
105610,19581227,   90,    0
105610,19581228,   90,    0
105610,19581229,   92,    0
105610,19581230,   92,    0
105610,19581231,   91,    0
105610,19590101,   92,    0
105610,19590102,   88,    0
105610,19590103,   80,    0
105610,19590104,   80,    0
105610,19590105,   90,    0
105610,19590106,   75,    0
105610,19590107,   85,    0
105610,19590108,   80,    0
105610,19590109,   81,    0
105610,19590110,   76,    0
105610,19590111,   77,    0
105610,19590112,   80,    0
105610,19590113,   86,    0
105610,19590114,   90,    0
105610,19590115,   86,    0
105610,19590116,   88,    0
105610,19590117,   95,    0
105610,19590118,  100,    0
105610,19590119,   97,    0
105610,19590120,   95,    0
105610,19590121,   93,    0
105610,19590122,   89,    0
105610,19590123,   83,    0
105610,19590124,   82,    0
105610,19590125,   90,    0
105610,19590126,   90,    0
105610,19590127,   90,    0
105610,19590128,   86,    0
105610,19590129,  100,    0
105610,19590130,   92,    0
105610,19590131,   93,    0
105610,19590201,   87,    0
105610,19590202,   88,    0
105610,19590203,   90,    0
105610,19590204,   90,    0
105610,19590205,   92,    0
105610,19590206,   88,    0
105610,19590207,   86,    0
105610,19590208,   85,    0
105610,19590209,   87,    0
105610,19590210,  100,    0
105610,19590211,   97,    0
105610,19590212,   95,    0
105610,19590213,   96,    0
105610,19590214,   96,    0
105610,19590215,   96,    0
105610,19590216,  100,    0
105610,19590217,   95,    0
105610,19590218,   94,    0
105610,19590219,   92,    0
105610,19590220,   81,    0
105610,19590221,   92,    0
105610,19590222,   86,    0
105610,19590223,   94,    0
105610,19590224,   99,    0
105610,19590225,   99,    0
105610,19590226,   98,    0
105610,19590227,   94,    0
105610,19590228,   95,    0
105610,19590301,   95,    0
105610,19590302,   93,    0
105610,19590303,   96,    0
105610,19590304,   88,    0
105610,19590305,   88,    0
105610,19590306,   88,    0
105610,19590307,   80,    0
105610,19590308,   73,    0
105610,19590309,   78,    0
105610,19590310,   85,    0
105610,19590311,   91,    0
105610,19590312,   87,    0
105610,19590313,   81,    0
105610,19590314,   94,    0
105610,19590315,   74,    0
105610,19590316,   78,    0
105610,19590317,   89,    0
105610,19590318,   88,    0
105610,19590319,   86,    0
105610,19590320,   83,    0
105610,19590321,   90,    0
105610,19590322,   92,    0
105610,19590323,   86,    0
105610,19590324,   89,    0
105610,19590325,   89,    0
105610,19590326,   84,    0
105610,19590327,   84,    0
105610,19590328,   82,    0
105610,19590329,   96,    0
105610,19590330,   91,    0
105610,19590331,   99,    0
105610,19590401,   80,    0
105610,19590402,   96,    0
105610,19590403,   81,    0
105610,19590404,   78,    0
105610,19590405,   81,    0
105610,19590406,   85,    0
105610,19590407,   75,    0
105610,19590408,   80,    0
105610,19590409,   84,    0
105610,19590410,   79,    0
105610,19590411,   82,    0
105610,19590412,   87,    0
105610,19590413,   94,    0
105610,19590414,   82,    0
105610,19590415,   80,    0
105610,19590416,   80,    0
105610,19590417,   90,    0
105610,19590418,   74,    0
105610,19590419,   72,    0
105610,19590420,   84,    0
105610,19590421,   78,    0
105610,19590422,   92,    0
105610,19590423,   73,    0
105610,19590424,   78,    0
105610,19590425,   91,    0
105610,19590426,   90,    0
105610,19590427,   91,    0
105610,19590428,   90,    0
105610,19590429,   74,    0
105610,19590430,   70,    0
105610,19590501,   87,    0
105610,19590502,   76,    0
105610,19590503,   70,    0
105610,19590504,   66,    0
105610,19590505,   66,    0
105610,19590506,   65,    0
105610,19590507,   75,    0
105610,19590508,   83,    0
105610,19590509,   74,    0
105610,19590510,   76,    0
105610,19590511,   89,    0
105610,19590512,   86,    0
105610,19590513,   74,    0
105610,19590514,   69,    0
105610,19590515,   61,    0
105610,19590516,   68,    0
105610,19590517,   75,    0
105610,19590518,   77,    0
105610,19590519,   83,    0
105610,19590520,   83,    0
105610,19590521,   81,    0
105610,19590522,   76,    0
105610,19590523,   62,    0
105610,19590524,   62,    0
105610,19590525,   72,    0
105610,19590526,   77,    0
105610,19590527,   71,    0
105610,19590528,   71,    0
105610,19590529,   72,    0
105610,19590530,   75,    0
105610,19590531,   82,    0
105610,19590601,   70,    0
105610,19590602,   83,    0
105610,19590603,   79,    0
105610,19590604,   72,    0
105610,19590605,   94,    0
105610,19590606,   85,    0
105610,19590607,   80,    0
105610,19590608,   85,    0
105610,19590609,   83,    0
105610,19590610,   67,    0
105610,19590611,   86,    0
105610,19590612,   84,    0
105610,19590613,   80,    0
105610,19590614,   66,    0
105610,19590615,   67,    0
105610,19590616,   74,    0
105610,19590617,   73,    0
105610,19590618,   64,    0
105610,19590619,   75,    0
105610,19590620,   65,    0
