 SOUID,    DATE,   QQ, Q_QQ
209967,19540101,   28,    0
209967,19540102,   24,    0
209967,19540103,   30,    0
209967,19540104,   31,    0
209967,19540105,   29,    0
209967,19540106,   29,    0
209967,19540107,   39,    0
209967,19540108,    9,    0
209967,19540109,    9,    0
209967,19540110,   24,    0
209967,19540111,   31,    0
209967,19540112,    9,    0
209967,19540113,    9,    0
209967,19540114,   10,    0
209967,19540115,   10,    0
209967,19540116,   31,    0
209967,19540117,   40,    0
209967,19540118,   10,    0
209967,19540119,   24,    0
209967,19540120,   11,    0
209967,19540121,   11,    0
209967,19540122,   11,    0
209967,19540123,   12,    0
209967,19540124,   12,    0
209967,19540125,   12,    0
209967,19540126,   12,    0
209967,19540127,   34,    0
209967,19540128,   50,    0
209967,19540129,   31,    0
209967,19540130,   34,    0
209967,19540131,   56,    0
209967,19540201,   48,    0
209967,19540202,   29,    0
209967,19540203,   15,    0
209967,19540204,   15,    0
209967,19540205,   15,    0
209967,19540206,   16,    0
209967,19540207,   64,    0
209967,19540208,   39,    0
209967,19540209,   17,    0
209967,19540210,   17,    0
209967,19540211,   17,    0
209967,19540212,   18,    0
209967,19540213,   18,    0
209967,19540214,   19,    0
209967,19540215,   45,    0
209967,19540216,   19,    0
209967,19540217,   56,    0
209967,19540218,   31,    0
209967,19540219,   21,    0
209967,19540220,   84,    0
209967,19540221,   22,    0
209967,19540222,   57,    0
209967,19540223,   54,    0
209967,19540224,   35,    0
209967,19540225,   63,    0
209967,19540226,   51,    0
209967,19540227,   68,    0
209967,19540228,   25,    0
209967,19540301,  112,    0
209967,19540302,   28,    0
209967,19540303,   29,    0
209967,19540304,   30,    0
209967,19540305,  124,    0
209967,19540306,   31,    0
209967,19540307,   31,    0
209967,19540308,  114,    0
209967,19540309,  106,    0
209967,19540310,   33,    0
209967,19540311,  119,    0
209967,19540312,  144,    0
209967,19540313,   80,    0
209967,19540314,   35,    0
209967,19540315,   36,    0
209967,19540316,   56,    0
209967,19540317,  109,    0
209967,19540318,  125,    0
209967,19540319,   38,    0
209967,19540320,   62,    0
209967,19540321,   54,    0
209967,19540322,   48,    0
209967,19540323,   90,    0
209967,19540324,   83,    0
209967,19540325,   42,    0
209967,19540326,  140,    0
209967,19540327,   79,    0
209967,19540328,  141,    0
209967,19540329,   87,    0
209967,19540330,  127,    0
209967,19540331,  163,    0
209967,19540401,  192,    0
209967,19540402,   47,    0
209967,19540403,   48,    0
209967,19540404,  183,    0
209967,19540405,  182,    0
209967,19540406,  171,    0
209967,19540407,   96,    0
209967,19540408,   51,    0
209967,19540409,  153,    0
209967,19540410,  186,    0
209967,19540411,   74,    0
209967,19540412,  187,    0
209967,19540413,  149,    0
209967,19540414,   54,    0
209967,19540415,  235,    0
209967,19540416,  155,    0
209967,19540417,   99,    0
209967,19540418,  117,    0
209967,19540419,  221,    0
209967,19540420,  240,    0
209967,19540421,  212,    0
209967,19540422,  210,    0
209967,19540423,  206,    0
209967,19540424,   60,    0
209967,19540425,  192,    0
209967,19540426,  250,    0
209967,19540427,  226,    0
209967,19540428,  170,    0
209967,19540429,  186,    0
209967,19540430,   84,    0
209967,19540501,  153,    0
209967,19540502,   99,    0
209967,19540503,  139,    0
209967,19540504,  146,    0
209967,19540505,  128,    0
209967,19540506,  134,    0
209967,19540507,  181,    0
209967,19540508,  202,    0
209967,19540509,  166,    0
209967,19540510,  214,    0
209967,19540511,  229,    0
209967,19540512,  267,    0
209967,19540513,   69,    0
209967,19540514,   70,    0
209967,19540515,  209,    0
209967,19540516,  191,    0
209967,19540517,  235,    0
209967,19540518,  278,    0
209967,19540519,  155,    0
209967,19540520,  236,    0
209967,19540521,  193,    0
209967,19540522,  185,    0
209967,19540523,  118,    0
209967,19540524,   73,    0
209967,19540525,  237,    0
209967,19540526,  232,    0
209967,19540527,  147,    0
209967,19540528,   74,    0
209967,19540529,  226,    0
209967,19540530,  286,    0
209967,19540531,  324,    0
209967,19540601,  195,    0
209967,19540602,  287,    0
209967,19540603,  319,    0
209967,19540604,  333,    0
209967,19540605,  273,    0
209967,19540606,  115,    0
209967,19540607,   83,    0
209967,19540608,  170,    0
209967,19540609,  158,    0
209967,19540610,  170,    0
209967,19540611,  158,    0
209967,19540612,  188,    0
209967,19540613,  154,    0
209967,19540614,  142,    0
209967,19540615,   84,    0
209967,19540616,  169,    0
209967,19540617,  220,    0
209967,19540618,  177,    0
209967,19540619,  117,    0
209967,19540620,   84,    0
209967,19540621,   84,    0
209967,19540622,  145,    0
209967,19540623,  171,    0
209967,19540624,   84,    0
209967,19540625,  123,    0
209967,19540626,  199,    0
209967,19540627,  188,    0
209967,19540628,  186,    0
209967,19540629,  259,    0
209967,19540630,  108,    0
209967,19540701,  162,    0
209967,19540702,  112,    0
209967,19540703,  190,    0
209967,19540704,  122,    0
209967,19540705,  224,    0
209967,19540706,  236,    0
209967,19540707,  173,    0
209967,19540708,  162,    0
209967,19540709,  135,    0
209967,19540710,   81,    0
209967,19540711,  161,    0
209967,19540712,  163,    0
209967,19540713,  176,    0
209967,19540714,  245,    0
209967,19540715,  240,    0
209967,19540716,  104,    0
209967,19540717,  146,    0
209967,19540718,  152,    0
209967,19540719,  211,    0
209967,19540720,  144,    0
209967,19540721,  217,    0
209967,19540722,  154,    0
209967,19540723,   77,    0
209967,19540724,  146,    0
209967,19540725,  196,    0
209967,19540726,   92,    0
209967,19540727,  138,    0
209967,19540728,  118,    0
209967,19540729,  203,    0
209967,19540730,  138,    0
209967,19540731,  133,    0
209967,19540801,  121,    0
209967,19540802,  254,    0
209967,19540803,  106,    0
209967,19540804,  234,    0
209967,19540805,   72,    0
209967,19540806,  120,    0
209967,19540807,  218,    0
209967,19540808,  172,    0
209967,19540809,   70,    0
209967,19540810,  172,    0
209967,19540811,  191,    0
209967,19540812,  173,    0
209967,19540813,  172,    0
209967,19540814,  197,    0
209967,19540815,   84,    0
209967,19540816,   84,    0
209967,19540817,   65,    0
209967,19540818,  130,    0
209967,19540819,  114,    0
209967,19540820,   94,    0
209967,19540821,   63,    0
209967,19540822,   62,    0
209967,19540823,  140,    0
209967,19540824,  111,    0
209967,19540825,   60,    0
209967,19540826,   60,    0
209967,19540827,   59,    0
209967,19540828,  131,    0
209967,19540829,   71,    0
209967,19540830,  158,    0
209967,19540831,   56,    0
209967,19540901,  145,    0
209967,19540902,   52,    0
209967,19540903,   81,    0
209967,19540904,  162,    0
209967,19540905,  172,    0
209967,19540906,  125,    0
209967,19540907,  115,    0
209967,19540908,   98,    0
209967,19540909,   48,    0
209967,19540910,   75,    0
209967,19540911,  130,    0
209967,19540912,  140,    0
209967,19540913,   45,    0
209967,19540914,  131,    0
209967,19540915,   95,    0
209967,19540916,  122,    0
209967,19540917,  123,    0
209967,19540918,  156,    0
209967,19540919,   96,    0
209967,19540920,   92,    0
209967,19540921,  104,    0
209967,19540922,  149,    0
209967,19540923,   90,    0
209967,19540924,   38,    0
209967,19540925,   76,    0
209967,19540926,  111,    0
209967,19540927,  111,    0
209967,19540928,  125,    0
209967,19540929,  139,    0
209967,19540930,   49,    0
209967,19541001,   34,    0
209967,19541002,   60,    0
209967,19541003,   33,    0
209967,19541004,   78,    0
209967,19541005,   45,    0
209967,19541006,  116,    0
209967,19541007,   73,    0
209967,19541008,   37,    0
209967,19541009,   29,    0
209967,19541010,   98,    0
209967,19541011,   49,    0
209967,19541012,   34,    0
209967,19541013,   27,    0
209967,19541014,   92,    0
209967,19541015,   26,    0
209967,19541016,   85,    0
209967,19541017,   25,    0
209967,19541018,   25,    0
209967,19541019,   46,    0
209967,19541020,   69,    0
209967,19541021,   62,    0
209967,19541022,   28,    0
209967,19541023,   22,    0
209967,19541024,   27,    0
209967,19541025,   80,    0
209967,19541026,   54,    0
209967,19541027,   42,    0
209967,19541028,   20,    0
209967,19541029,   24,    0
209967,19541030,   51,    0
209967,19541031,   19,    0
209967,19541101,   31,    0
209967,19541102,   46,    0
209967,19541103,   26,    0
209967,19541104,   17,    0
209967,19541105,   26,    0
209967,19541106,   16,    0
209967,19541107,   44,    0
209967,19541108,   16,    0
209967,19541109,   53,    0
209967,19541110,   45,    0
209967,19541111,   26,    0
209967,19541112,   43,    0
209967,19541113,   18,    0
209967,19541114,   59,    0
209967,19541115,   32,    0
209967,19541116,   53,    0
209967,19541117,   51,    0
209967,19541118,   13,    0
209967,19541119,   12,    0
209967,19541120,   34,    0
209967,19541121,   12,    0
