 SOUID,    DATE,   SS, Q_SS
105612,19540101,   32,    0
105612,19540102,   22,    0
105612,19540103,   38,    0
105612,19540104,   38,    0
105612,19540105,   32,    0
105612,19540106,   32,    0
105612,19540107,   63,    0
105612,19540108,    0,    0
105612,19540109,    0,    0
105612,19540110,   16,    0
105612,19540111,   31,    0
105612,19540112,    0,    0
105612,19540113,    0,    0
105612,19540114,    0,    0
105612,19540115,    0,    0
105612,19540116,   26,    0
105612,19540117,   47,    0
105612,19540118,    0,    0
105612,19540119,   11,    0
105612,19540120,    0,    0
105612,19540121,    0,    0
105612,19540122,    0,    0
105612,19540123,    0,    0
105612,19540124,    0,    0
105612,19540125,    0,    0
105612,19540126,    0,    0
105612,19540127,   19,    0
105612,19540128,   51,    0
105612,19540129,   14,    0
105612,19540130,   17,    0
105612,19540131,   57,    0
105612,19540201,   37,    0
105612,19540202,    8,    0
105612,19540203,    0,    0
105612,19540204,    0,    0
105612,19540205,    0,    0
105612,19540206,    0,    0
105612,19540207,   57,    0
105612,19540208,   15,    0
105612,19540209,    0,    0
105612,19540210,    0,    0
105612,19540211,    0,    0
105612,19540212,    0,    0
105612,19540213,    0,    0
105612,19540214,    0,    0
105612,19540215,   15,    0
105612,19540216,    0,    0
105612,19540217,   25,    0
105612,19540218,    3,    0
105612,19540219,    0,    0
105612,19540220,   62,    0
105612,19540221,    0,    0
105612,19540222,   21,    0
105612,19540223,   17,    0
105612,19540224,    3,    0
105612,19540225,   24,    0
105612,19540226,   12,    0
105612,19540227,   27,    0
105612,19540228,    0,    0
105612,19540301,   74,    0
105612,19540302,    0,    0
105612,19540303,    0,    0
105612,19540304,    0,    0
105612,19540305,   81,    0
105612,19540306,    0,    0
105612,19540307,    0,    0
105612,19540308,   61,    0
105612,19540309,   50,    0
105612,19540310,    0,    0
105612,19540311,   61,    0
105612,19540312,   89,    0
105612,19540313,   21,    0
105612,19540314,    0,    0
105612,19540315,    0,    0
105612,19540316,    5,    0
105612,19540317,   41,    0
105612,19540318,   55,    0
105612,19540319,    0,    0
105612,19540320,    6,    0
105612,19540321,    3,    0
105612,19540322,    1,    0
105612,19540323,   20,    0
105612,19540324,   15,    0
105612,19540325,    0,    0
105612,19540326,   56,    0
105612,19540327,   11,    0
