 SOUID,    DATE,   TN, Q_TN
100919,19540101,  -22,    0
100919,19540102,    0,    0
100919,19540103,   17,    0
100919,19540104,   17,    0
100919,19540105,    0,    0
100919,19540106,  -61,    0
100919,19540107,  -56,    0
100919,19540108,  -94,    0
100919,19540109,  -17,    0
100919,19540110,   17,    0
100919,19540111,   39,    0
100919,19540112,   33,    1
100919,19540113,    0,    0
100919,19540114,   -6,    0
100919,19540115,    6,    0
100919,19540116,   22,    0
100919,19540117,   11,    0
100919,19540118,  -33,    0
100919,19540119,    6,    0
100919,19540120,   50,    1
100919,19540121,    6,    0
100919,19540122,   11,    0
100919,19540123,    6,    0
100919,19540124,  -22,    0
100919,19540125,  -22,    0
100919,19540126,  -11,    0
100919,19540127,  -28,    0
100919,19540128,  -33,    0
100919,19540129,  -22,    0
100919,19540130,  -50,    0
100919,19540131,  -78,    0
100919,19540201,  -78,    0
100919,19540202, -133,    0
100919,19540203,  -78,    0
100919,19540204,  -33,    0
100919,19540205,   -6,    0
100919,19540206, -111,    0
100919,19540207,  -72,    0
100919,19540208,  -56,    0
100919,19540209,  -94,    0
100919,19540210,  -28,    0
100919,19540211,    0,    0
100919,19540212,    6,    0
100919,19540213,    0,    0
100919,19540214,   11,    0
100919,19540215,   22,    0
100919,19540216,  -22,    0
100919,19540217,   11,    0
100919,19540218,  -44,    0
100919,19540219,   -6,    0
100919,19540220,  -44,    0
100919,19540221,  -28,    0
100919,19540222,  -33,    0
100919,19540223,  -17,    0
100919,19540224,   -6,    0
100919,19540225,    6,    0
100919,19540226,  -22,    0
100919,19540227,  -89,    0
100919,19540228,  -39,    0
100919,19540301,  -83,    0
100919,19540302, -139,    0
100919,19540303,  -28,    0
100919,19540304,  -17,    0
100919,19540305,   -6,    0
100919,19540306,    0,    0
100919,19540307,   11,    0
100919,19540308,   17,    0
100919,19540309,  -17,    0
100919,19540310,   11,    0
100919,19540311,   22,    0
100919,19540312,   17,    0
100919,19540313,   11,    0
100919,19540314,    6,    0
100919,19540315,    6,    0
100919,19540316,   -6,    0
100919,19540317,    0,    0
100919,19540318,   -6,    0
100919,19540319,  -11,    0
100919,19540320,   17,    0
100919,19540321,   39,    0
100919,19540322,   50,    0
100919,19540323,   44,    0
100919,19540324,   22,    0
100919,19540325,    0,    0
100919,19540326,   22,    0
100919,19540327,  -11,    0
100919,19540328,   17,    0
100919,19540329,  -33,    0
100919,19540330,   39,    0
100919,19540331,   11,    0
100919,19540401,  -11,    0
100919,19540402,   28,    0
100919,19540403,   22,    0
100919,19540404,   28,    0
100919,19540405,   -6,    0
100919,19540406,   -6,    0
100919,19540407,  -44,    0
100919,19540408,   39,    0
100919,19540409,   50,    0
100919,19540410,  -28,    0
100919,19540411,   28,    0
100919,19540412,   22,    0
100919,19540413,   28,    0
100919,19540414,   56,    0
100919,19540415,   67,    0
100919,19540416,  -17,    0
100919,19540417,   50,    0
100919,19540418,  -11,    0
100919,19540419,  -44,    0
100919,19540420,  -11,    0
100919,19540421,  -39,    0
100919,19540422,    0,    0
100919,19540423,  -22,    0
100919,19540424,   11,    0
100919,19540425,   39,    0
100919,19540426,   -6,    0
100919,19540427,  -11,    0
100919,19540428,    6,    0
100919,19540429,   -6,    0
100919,19540430,    6,    0
100919,19540501,  -11,    0
100919,19540502,   39,    0
100919,19540503,   22,    0
100919,19540504,   28,    0
100919,19540505,   33,    0
100919,19540506,   17,    0
100919,19540507,   11,    0
100919,19540508,   17,    0
100919,19540509,   39,    0
100919,19540510,   61,    0
100919,19540511,   78,    0
100919,19540512,   50,    0
100919,19540513,  111,    1
100919,19540514,   78,    0
100919,19540515,   39,    0
100919,19540516,   28,    0
100919,19540517,   44,    0
100919,19540518,   22,    0
100919,19540519,   28,    0
100919,19540520,   50,    0
100919,19540521,   44,    0
100919,19540522,   39,    0
100919,19540523,   44,    0
100919,19540524,   61,    0
100919,19540525,   78,    0
100919,19540526,   67,    0
100919,19540527,  106,    0
100919,19540528,  117,    0
100919,19540529,  100,    0
100919,19540530,   78,    0
100919,19540531,   72,    0
100919,19540601,   61,    0
100919,19540602,   56,    0
100919,19540603,   50,    0
100919,19540604,   56,    0
100919,19540605,   61,    0
100919,19540606,   67,    0
100919,19540607,   61,    0
100919,19540608,   72,    0
100919,19540609,   78,    0
100919,19540610,   83,    0
100919,19540611,   78,    0
100919,19540612,   56,    0
100919,19540613,   22,    0
100919,19540614,   72,    0
100919,19540615,   56,    0
100919,19540616,   78,    0
100919,19540617,  106,    0
100919,19540618,  117,    0
100919,19540619,  106,    0
100919,19540620,  100,    0
100919,19540621,   94,    0
100919,19540622,   72,    0
100919,19540623,   89,    0
100919,19540624,   94,    0
100919,19540625,  100,    0
100919,19540626,   67,    0
100919,19540627,   78,    0
100919,19540628,   67,    0
100919,19540629,   50,    0
100919,19540630,   72,    0
100919,19540701,   89,    0
100919,19540702,   56,    0
100919,19540703,   61,    0
100919,19540704,   61,    0
100919,19540705,   61,    0
100919,19540706,  -17,    0
100919,19540707,   72,    0
100919,19540708,   78,    0
100919,19540709,   89,    0
100919,19540710,  100,    0
100919,19540711,  117,    0
100919,19540712,   78,    0
100919,19540713,   78,    0
100919,19540714,  111,    0
100919,19540715,   78,    0
100919,19540716,   94,    0
100919,19540717,  117,    0
100919,19540718,   94,    0
100919,19540719,   33,    0
100919,19540720,  111,    0
100919,19540721,   89,    0
100919,19540722,   83,    0
100919,19540723,   28,    0
100919,19540724,   94,    0
100919,19540725,  106,    0
100919,19540726,   44,    0
100919,19540727,   78,    0
100919,19540728,   89,    0
100919,19540729,   78,    0
100919,19540730,   89,    0
100919,19540731,   83,    0
100919,19540801,   67,    0
100919,19540802,  106,    0
100919,19540803,   72,    0
100919,19540804,   44,    0
100919,19540805,   78,    0
100919,19540806,  106,    0
100919,19540807,  100,    0
100919,19540808,   72,    0
100919,19540809,  100,    0
100919,19540810,   50,    0
100919,19540811,  100,    0
100919,19540812,   11,    0
100919,19540813,   89,    0
100919,19540814,   72,    0
100919,19540815,   89,    0
100919,19540816,   67,    0
100919,19540817,   61,    0
100919,19540818,   94,    0
100919,19540819,   83,    0
100919,19540820,   94,    0
100919,19540821,  106,    0
100919,19540822,  106,    0
100919,19540823,   94,    0
100919,19540824,  106,    0
100919,19540825,  100,    0
100919,19540826,   67,    0
100919,19540827,   83,    0
100919,19540828,   61,    0
100919,19540829,  100,    0
100919,19540830,  106,    0
100919,19540831,  106,    0
100919,19540901,   72,    0
