 SOUID,    DATE,   TX, Q_TX
100920,19531201,-9999,    9
100920,19531202,-9999,    9
100920,19531203,-9999,    9
100920,19531204,-9999,    9
100920,19531205,-9999,    9
100920,19531206,-9999,    9
100920,19531207,-9999,    9
100920,19531208,-9999,    9
100920,19531209,-9999,    9
100920,19531210,-9999,    9
100920,19531211,-9999,    9
100920,19531212,-9999,    9
100920,19531213,-9999,    9
100920,19531214,-9999,    9
100920,19531215,-9999,    9
100920,19531216,-9999,    9
100920,19531217,-9999,    9
100920,19531218,-9999,    9
100920,19531219,-9999,    9
100920,19531220,-9999,    9
100920,19531221,-9999,    9
100920,19531222,-9999,    9
100920,19531223,-9999,    9
100920,19531224,-9999,    9
100920,19531225,-9999,    9
100920,19531226,-9999,    9
100920,19531227,-9999,    9
100920,19531228,-9999,    9
100920,19531229,-9999,    9
100920,19531230,-9999,    9
100920,19531231,   67,    0
100920,19540101,   89,    0
100920,19540102,   44,    0
100920,19540103,   39,    0
100920,19540104,   33,    0
100920,19540105,   17,    0
100920,19540106,   -6,    0
100920,19540107,   72,    0
100920,19540108,   50,    0
100920,19540109,   72,    0
100920,19540110,   72,    0
100920,19540111,   72,    0
100920,19540112,   17,    1
100920,19540113,   94,    0
100920,19540114,   89,    0
100920,19540115,   44,    1
100920,19540116,   44,    0
100920,19540117,   78,    0
100920,19540118,   94,    0
100920,19540119,   56,    0
100920,19540120,   28,    1
100920,19540121,   33,    0
100920,19540122,   17,    1
100920,19540123,    6,    1
100920,19540124,   22,    0
100920,19540125,    0,    0
100920,19540126,  -11,    1
100920,19540127,   11,    0
100920,19540128,   17,    0
100920,19540129,    0,    0
100920,19540130,  -11,    0
100920,19540131,  -11,    0
100920,19540201,    6,    0
100920,19540202,   28,    0
100920,19540203,   33,    0
100920,19540204,   33,    0
100920,19540205,    6,    1
100920,19540206,   17,    0
100920,19540207,   17,    0
100920,19540208,   17,    0
100920,19540209,   17,    0
100920,19540210,   11,    0
100920,19540211,   33,    0
100920,19540212,   28,    0
100920,19540213,   33,    0
100920,19540214,   50,    0
100920,19540215,   44,    0
100920,19540216,   72,    0
100920,19540217,   28,    1
100920,19540218,   17,    0
100920,19540219,   44,    0
100920,19540220,   72,    0
100920,19540221,   78,    0
100920,19540222,   50,    0
100920,19540223,   50,    0
100920,19540224,   28,    0
100920,19540225,   22,    0
100920,19540226,   17,    0
100920,19540227,  -22,    0
100920,19540228,   -6,    0
100920,19540301,   -6,    0
100920,19540302,   17,    0
100920,19540303,   17,    0
100920,19540304,   33,    0
100920,19540305,   50,    0
100920,19540306,   50,    0
100920,19540307,   67,    0
100920,19540308,   83,    0
100920,19540309,   89,    0
100920,19540310,  139,    0
100920,19540311,  128,    0
100920,19540312,   61,    1
100920,19540313,   22,    1
100920,19540314,   33,    0
100920,19540315,   33,    0
100920,19540316,   72,    0
100920,19540317,   78,    0
100920,19540318,   67,    0
100920,19540319,   89,    0
100920,19540320,   94,    0
100920,19540321,  106,    0
100920,19540322,  100,    0
100920,19540323,   50,    1
100920,19540324,   67,    0
100920,19540325,  100,    0
100920,19540326,   83,    0
100920,19540327,  117,    0
100920,19540328,  117,    0
100920,19540329,   83,    0
100920,19540330,   89,    0
100920,19540331,  128,    0
100920,19540401,  117,    0
100920,19540402,  111,    0
100920,19540403,   89,    0
100920,19540404,   72,    0
100920,19540405,   83,    0
100920,19540406,   94,    0
100920,19540407,  106,    0
100920,19540408,  106,    0
100920,19540409,  122,    0
100920,19540410,  100,    0
100920,19540411,   94,    0
100920,19540412,  100,    0
100920,19540413,  106,    0
100920,19540414,  122,    0
100920,19540415,  128,    0
100920,19540416,  133,    0
100920,19540417,   94,    0
100920,19540418,  117,    0
100920,19540419,   94,    0
100920,19540420,  122,    0
100920,19540421,  106,    0
100920,19540422,  106,    0
100920,19540423,   78,    0
100920,19540424,  100,    0
100920,19540425,  100,    0
100920,19540426,  111,    0
100920,19540427,  133,    0
100920,19540428,  122,    0
100920,19540429,   78,    0
100920,19540430,   83,    0
100920,19540501,   67,    0
100920,19540502,   83,    0
100920,19540503,  111,    0
100920,19540504,   83,    0
100920,19540505,   83,    0
100920,19540506,   94,    0
100920,19540507,  144,    0
100920,19540508,  150,    0
100920,19540509,  217,    0
100920,19540510,  217,    0
100920,19540511,  222,    0
